iter	Passed	Remaining
0	148	14688
1	151	7427
2	154	4990
3	159	3831
4	162	3088
5	165	2591
6	168	2235
7	170	1961
8	175	1779
9	178	1610
10	181	1471
11	184	1354
12	187	1253
13	192	1185
14	195	1108
15	198	1040
16	201	981
17	204	929
18	209	895
19	212	850
20	215	810
21	217	772
22	221	741
23	224	711
24	227	682
25	230	656
26	233	631
27	238	613
28	241	592
29	244	570
30	247	550
31	250	531
32	255	518
33	269	522
34	272	506
35	275	489
36	278	473
37	280	458
38	285	446
39	289	433
40	291	420
41	294	406
42	297	393
43	303	385
44	305	373
45	308	362
46	311	350
47	313	339
48	319	332
49	321	321
50	325	313
51	339	313
52	342	303
53	345	294
54	351	287
55	354	278
56	357	269
57	359	260
58	362	251
59	367	245
60	370	236
61	373	228
62	375	220
63	378	212
64	384	206
65	386	199
66	389	191
67	392	184
68	396	178
69	399	171
70	402	164
71	405	157
72	408	150
73	411	144
74	414	138
75	417	131
76	420	125
77	422	119
78	428	113
79	431	107
80	433	101
81	436	95
82	439	89
83	444	84
84	447	79
85	450	73
86	452	67
87	455	62
88	461	57
89	463	51
90	466	46
91	469	40
92	471	35
93	478	30
94	480	25
95	483	20
96	486	15
97	489	9
98	494	4
99	496	0
